sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings
M,0.455-0.535,0.365-0.42,0.08-0.1,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.055-0.15,10.0-16.0
M,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,7.0-10.0
F,0.455-0.535,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.155-0.26,7.0-10.0
M,0.33-0.45,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.155-0.26,10.0-16.0
I,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,7.0-10.0
I,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,7.0-10.0
F,0.455-0.535,0.365-0.42,0.15-0.15,0.7775-0.8945,0.194-0.2725,0.095-0.1495,0.32-0.33,19.0-20.0
F,0.545-0.55,0.425-0.44,0.11-0.145,0.5095-0.768,0.294-0.3145,0.095-0.1495,0.155-0.26,10.0-16.0
M,0.455-0.535,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.155-0.26,7.0-10.0
F,0.545-0.55,0.425-0.44,0.15-0.15,0.7775-0.8945,0.294-0.3145,0.151-0.171,0.32-0.33,19.0-20.0
F,0.455-0.535,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.155-0.26,10.0-16.0
M,0.33-0.45,0.255-0.355,0.11-0.145,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,10.0-16.0
M,0.455-0.535,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.155-0.26,10.0-16.0
F,0.455-0.535,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.151-0.171,0.155-0.26,10.0-16.0
F,0.455-0.535,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.155-0.26,10.0-16.0
M,0.455-0.535,0.365-0.42,0.11-0.145,0.5095-0.768,0.194-0.2725,0.095-0.1495,0.155-0.26,10.0-16.0
I,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,7.0-10.0
F,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,10.0-16.0
M,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,7.0-10.0
M,0.33-0.45,0.255-0.355,0.08-0.1,0.205-0.4755,0.0895-0.188,0.0395-0.087,0.055-0.15,7.0-10.0
